Date,Open,High,Low,Close
2004-03-26,88.93,88.93,88.93,88.93
2004-03-29,87.69,87.69,87.69,87.69
2004-03-30,88.43,88.43,88.43,88.43
2004-03-31,89.22,89.22,89.22,89.22
2004-04-01,89.49,89.49,89.49,89.49
2004-04-02,88.81,88.81,88.81,88.81
2004-04-05,88.65,88.65,88.65,88.65
2004-04-06,89.7,89.7,89.7,89.7
2004-04-07,91.07,91.07,91.07,91.07
2004-04-08,90.76,90.76,90.76,90.76
2004-04-12,90.12,90.12,90.12,90.12
2004-04-13,91.79,91.79,91.79,91.79
2004-04-14,90.42,90.42,90.42,90.42
2004-04-15,90.97,90.97,90.97,90.97
2004-04-16,90.45,90.45,90.45,90.45
2004-04-19,90.8,90.8,90.8,90.8
2004-04-20,91.58,91.58,91.58,91.58
2004-04-21,90.28,90.28,90.28,90.28
2004-04-22,88.04,88.04,88.04,88.04
2004-04-23,88.61,88.61,88.61,88.61
2004-04-26,88.56,88.56,88.56,88.56
2004-04-27,88.54,88.54,88.54,88.54
2004-04-28,89.68,89.68,89.68,89.68
2004-04-29,90.84,90.84,90.84,90.84
2004-04-30,91.46,91.46,91.46,91.46
2004-05-03,90.14,90.14,90.14,90.14
2004-05-04,89.82,89.82,89.82,89.82
2004-05-05,89.02,89.02,89.02,89.02
2004-05-06,90.5,90.5,90.5,90.5
2004-05-07,91.87,91.87,91.87,91.87
2004-05-10,93.46,93.46,93.46,93.46
2004-05-11,91.78,91.78,91.78,91.78
2004-05-12,91.06,91.06,91.06,91.06
2004-05-13,89.83,89.83,89.83,89.83
2004-05-14,90.13,90.13,90.13,90.13
2004-05-17,91.33,91.33,91.33,91.33
2004-05-18,91.21,91.21,91.21,91.21
2004-05-19,90.39,90.39,90.39,90.39
2004-05-20,90.15,90.15,90.15,90.15
2004-05-21,90.49,90.49,90.49,90.49
2004-05-24,89.74,89.74,89.74,89.74
2004-05-25,87.7,87.7,87.7,87.7
2004-05-26,87.89,87.89,87.89,87.89
2004-05-27,87.99,87.99,87.99,87.99
2004-05-28,87.97,87.97,87.97,87.97
2004-06-01,88.09,88.09,88.09,88.09
2004-06-02,87.63,87.63,87.63,87.63
2004-06-03,88.09,88.09,88.09,88.09
2004-06-04,88.54,88.54,88.54,88.54
2004-06-07,87.47,87.47,87.47,87.47
2004-06-08,86.92,86.92,86.92,86.92
2004-06-09,87.63,87.63,87.63,87.63
2004-06-10,87.55,87.55,87.55,87.55
2004-06-14,87.55,87.55,87.55,87.55
2004-06-15,87.63,87.63,87.63,87.63
2004-06-16,85.13,85.13,85.13,85.13
2004-06-17,85.05,85.05,85.05,85.05
2004-06-18,85.05,85.05,85.05,85.05
2004-06-21,84.32,84.32,84.32,84.32
2004-06-22,83.22,83.22,83.22,83.22
2004-06-23,80.52,80.52,80.52,80.52
2004-06-24,81.61,81.61,81.61,81.61
2004-06-25,82.42,82.42,82.42,82.42
2004-06-28,83.35,83.35,83.35,83.35
2004-06-29,83.28,83.28,83.28,83.28
2004-06-30,82.84,82.84,82.84,82.84
2004-07-01,83.78,83.78,83.78,83.78
2004-07-02,83.88,83.88,83.88,83.88
2004-07-06,84.65,84.65,84.65,84.65
2004-07-07,84.07,84.07,84.07,84.07
2004-07-08,84.71,84.71,84.71,84.71
2004-07-09,85.04,85.04,85.04,85.04
2004-07-12,85.46,85.46,85.46,85.46
2004-07-13,85.22,85.22,85.22,85.22
2004-07-14,85.45,85.45,85.45,85.45
2004-07-15,85.07,85.07,85.07,85.07
2004-07-16,85.68,85.68,85.68,85.68
2004-07-19,86.41,86.41,86.41,86.41
2004-07-20,85.69,85.69,85.69,85.69
2004-07-21,87.21,87.21,87.21,87.21
2004-07-22,86.65,86.65,86.65,86.65
2004-07-23,87.89,87.89,87.89,87.89
2004-07-26,88.93,88.93,88.93,88.93
2004-07-27,87.9,87.9,87.9,87.9
2004-07-28,88.55,88.55,88.55,88.55
2004-07-29,89.1,89.1,89.1,89.1
2004-07-30,88.79,88.79,88.79,88.79
2004-08-02,88.22,88.22,88.22,88.22
2004-08-03,88.75,88.75,88.75,88.75
2004-08-04,88.98,88.98,88.98,88.98
2004-08-05,89.54,89.54,89.54,89.54
2004-08-06,90.63,90.63,90.63,90.63
2004-08-09,90.04,90.04,90.04,90.04
2004-08-10,88.91,88.91,88.91,88.91
2004-08-11,88.85,88.85,88.85,88.85
2004-08-12,89.45,89.45,89.45,89.45
