Date,Open,High,Low,Close
2004-03-26,17.63,17.63,17.63,17.63
2004-03-29,17.88,17.88,17.88,17.88
2004-03-30,17.72,17.72,17.72,17.72
2004-03-31,17.57,17.57,17.57,17.57
2004-04-01,17.51,17.51,17.51,17.51
2004-04-02,17.65,17.65,17.65,17.65
2004-04-05,17.68,17.68,17.68,17.68
2004-04-06,17.47,17.47,17.47,17.47
2004-04-07,17.2,17.2,17.2,17.2
2004-04-08,17.26,17.26,17.26,17.26
2004-04-12,17.38,17.38,17.38,17.38
2004-04-13,17.06,17.06,17.06,17.06
2004-04-14,17.31,17.31,17.31,17.31
2004-04-15,17.21,17.21,17.21,17.21
2004-04-16,17.31,17.31,17.31,17.31
2004-04-19,17.24,17.24,17.24,17.24
2004-04-20,17.09,17.09,17.09,17.09
2004-04-21,17.34,17.34,17.34,17.34
2004-04-22,17.77,17.77,17.77,17.77
2004-04-23,17.65,17.65,17.65,17.65
2004-04-26,17.66,17.66,17.66,17.66
2004-04-27,17.66,17.66,17.66,17.66
2004-04-28,17.44,17.44,17.44,17.44
2004-04-29,17.21,17.21,17.21,17.21
2004-04-30,17.09,17.09,17.09,17.09
2004-05-03,17.34,17.34,17.34,17.34
2004-05-04,17.4,17.4,17.4,17.4
2004-05-05,17.56,17.56,17.56,17.56
2004-05-06,17.27,17.27,17.27,17.27
2004-05-07,17,17,17,17
2004-05-10,16.71,16.71,16.71,16.71
2004-05-11,17.01,17.01,17.01,17.01
2004-05-12,17.14,17.14,17.14,17.14
2004-05-13,17.38,17.38,17.38,17.38
2004-05-14,17.32,17.32,17.32,17.32
2004-05-17,17.09,17.09,17.09,17.09
2004-05-18,17.11,17.11,17.11,17.11
2004-05-19,17.26,17.26,17.26,17.26
2004-05-20,17.31,17.31,17.31,17.31
2004-05-21,17.24,17.24,17.24,17.24
2004-05-24,17.39,17.39,17.39,17.39
2004-05-25,17.78,17.78,17.78,17.78
2004-05-26,17.74,17.74,17.74,17.74
2004-05-27,17.72,17.72,17.72,17.72
2004-05-28,17.73,17.73,17.73,17.73
2004-06-01,17.7,17.7,17.7,17.7
2004-06-02,17.8,17.8,17.8,17.8
2004-06-03,17.7,17.7,17.7,17.7
2004-06-04,17.61,17.61,17.61,17.61
2004-06-07,17.82,17.82,17.82,17.82
2004-06-08,17.94,17.94,17.94,17.94
2004-06-09,17.79,17.79,17.79,17.79
2004-06-10,17.81,17.81,17.81,17.81
2004-06-14,17.81,17.81,17.81,17.81
2004-06-15,17.79,17.79,17.79,17.79
2004-06-16,18.3,18.3,18.3,18.3
2004-06-17,18.31,18.31,18.31,18.31
2004-06-18,18.31,18.31,18.31,18.31
2004-06-21,18.47,18.47,18.47,18.47
2004-06-22,18.71,18.71,18.71,18.71
2004-06-23,19.32,19.32,19.32,19.32
2004-06-24,19.06,19.06,19.06,19.06
2004-06-25,18.87,18.87,18.87,18.87
2004-06-28,18.66,18.66,18.66,18.66
2004-06-29,18.67,18.67,18.67,18.67
2004-06-30,18.77,18.77,18.77,18.77
2004-07-01,18.56,18.56,18.56,18.56
2004-07-02,18.54,18.54,18.54,18.54
2004-07-06,18.37,18.37,18.37,18.37
2004-07-07,18.49,18.49,18.49,18.49
2004-07-08,18.35,18.35,18.35,18.35
2004-07-09,18.28,18.28,18.28,18.28
2004-07-12,18.19,18.19,18.19,18.19
2004-07-13,18.24,18.24,18.24,18.24
2004-07-14,18.19,18.19,18.19,18.19
2004-07-15,18.27,18.27,18.27,18.27
2004-07-16,18.14,18.14,18.14,18.14
2004-07-19,17.99,17.99,17.99,17.99
2004-07-20,18.14,18.14,18.14,18.14
2004-07-21,17.81,17.81,17.81,17.81
2004-07-22,17.93,17.93,17.93,17.93
2004-07-23,17.67,17.67,17.67,17.67
2004-07-26,17.46,17.46,17.46,17.46
2004-07-27,17.66,17.66,17.66,17.66
2004-07-28,17.53,17.53,17.53,17.53
2004-07-29,17.43,17.43,17.43,17.43
2004-07-30,17.49,17.49,17.49,17.49
2004-08-02,17.6,17.6,17.6,17.6
2004-08-03,17.49,17.49,17.49,17.49
2004-08-04,17.45,17.45,17.45,17.45
2004-08-05,17.34,17.34,17.34,17.34
2004-08-06,17.13,17.13,17.13,17.13
2004-08-09,17.24,17.24,17.24,17.24
2004-08-10,17.45,17.45,17.45,17.45
2004-08-11,17.47,17.47,17.47,17.47
2004-08-12,17.35,17.35,17.35,17.35
2004-08-13,17.37,17.37,17.37,17.37
2004-08-16,17.48,17.48,17.48,17.48
2004-08-17,17.45,17.45,17.45,17.45
2004-08-18,17.65,17.65,17.65,17.65
2004-08-19,17.62,17.62,17.62,17.62
2004-08-20,17.66,17.66,17.66,17.66
2004-08-23,17.59,17.59,17.59,17.59
2004-08-24,17.66,17.66,17.66,17.66
2004-08-25,18.56,18.56,18.56,18.56
2004-08-26,18.67,18.67,18.67,18.67
2004-08-27,18.89,18.89,18.89,18.89
2004-08-30,18.7,18.7,18.7,18.7
2004-08-31,18.83,18.83,18.83,18.83
2004-09-01,18.88,18.88,18.88,18.88
2004-09-02,19.3,19.3,19.3,19.3
2004-09-03,19.56,19.56,19.56,19.56
2004-09-07,19.78,19.78,19.78,19.78
2004-09-08,19.7,19.7,19.7,19.7
2004-09-09,20.01,20.01,20.01,20.01
2004-09-10,20.11,20.11,20.11,20.11
2004-09-13,20.94,20.94,20.94,20.94
2004-09-14,20.75,20.75,20.75,20.75
2004-09-15,20.62,20.62,20.62,20.62
2004-09-16,20.58,20.58,20.58,20.58
2004-09-17,21.14,21.14,21.14,21.14
2004-09-20,21.14,21.14,21.14,21.14
2004-09-21,21.35,21.35,21.35,21.35
2004-09-22,21.03,21.03,21.03,21.03
2004-09-23,20.92,20.92,20.92,20.92
2004-09-24,21.01,21.01,21.01,21.01
2004-09-27,20.81,20.81,20.81,20.81
2004-09-28,21.12,21.12,21.12,21.12
2004-09-29,21.3,21.3,21.3,21.3
2004-09-30,21.43,21.43,21.43,21.43
2004-10-01,21.96,21.96,21.96,21.96
2004-10-04,22.06,22.06,22.06,22.06
2004-10-05,22.25,22.25,22.25,22.25
2004-10-06,22.64,22.64,22.64,22.64
2004-10-07,22.44,22.44,22.44,22.44
2004-10-08,22.27,22.27,22.27,22.27
2004-10-11,22.36,22.36,22.36,22.36
2004-10-12,22.27,22.27,22.27,22.27
2004-10-13,22.22,22.22,22.22,22.22
2004-10-14,22.03,22.03,22.03,22.03
2004-10-15,22.15,22.15,22.15,22.15
2004-10-18,22.4,22.4,22.4,22.4
2004-10-19,22.21,22.21,22.21,22.21
2004-10-20,21.99,21.99,21.99,21.99
2004-10-21,22.1,22.1,22.1,22.1
2004-10-22,21.97,21.97,21.97,21.97
2004-10-25,21.58,21.58,21.58,21.58
2004-10-26,21.71,21.71,21.71,21.71
2004-10-27,21.76,21.76,21.76,21.76
2004-10-28,21.92,21.92,21.92,21.92
2004-10-29,21.94,21.94,21.94,21.94
2004-11-01,21.88,21.88,21.88,21.88
2004-11-02,22.23,22.23,22.23,22.23
2004-11-03,22.71,22.71,22.71,22.71
2004-11-04,23.1,23.1,23.1,23.1
2004-11-05,23.3,23.3,23.3,23.3
2004-11-08,23.22,23.22,23.22,23.22
2004-11-09,23.44,23.44,23.44,23.44
2004-11-10,23.5,23.5,23.5,23.5
2004-11-11,23.78,23.78,23.78,23.78
2004-11-12,24,24,24,24
2004-11-15,23.85,23.85,23.85,23.85
2004-11-16,23.46,23.46,23.46,23.46
2004-11-17,23.39,23.39,23.39,23.39
2004-11-18,23.48,23.48,23.48,23.48
2004-11-19,23.08,23.08,23.08,23.08
2004-11-22,23.45,23.45,23.45,23.45
2004-11-23,23.35,23.35,23.35,23.35
2004-11-24,23.42,23.42,23.42,23.42
2004-11-26,23.44,23.44,23.44,23.44
2004-11-29,23.29,23.29,23.29,23.29
2004-11-30,23.28,23.28,23.28,23.28
2004-12-01,23.43,23.43,23.43,23.43
2004-12-02,23.46,23.46,23.46,23.46
2004-12-03,23.51,23.51,23.51,23.51
2004-12-06,23.56,23.56,23.56,23.56
2004-12-07,23.45,23.45,23.45,23.45
2004-12-08,23.8,23.8,23.8,23.8
2004-12-09,24.11,24.11,24.11,24.11
2004-12-10,24.11,24.11,24.11,24.11
2004-12-13,24.58,24.58,24.58,24.58
2004-12-14,24.84,24.84,24.84,24.84
2004-12-15,25.04,25.04,25.04,25.04
2004-12-16,24.94,24.94,24.94,24.94
2004-12-17,24.86,24.86,24.86,24.86
2004-12-20,25.01,25.01,25.01,25.01
2004-12-21,24.98,24.98,24.98,24.98
2004-12-22,24.88,24.88,24.88,24.88
2004-12-23,24.87,24.87,24.87,24.87
2004-12-27,24.81,24.81,24.81,24.81
2004-12-28,24.81,24.81,24.81,24.81
2004-12-29,24.74,24.74,24.74,24.74
2004-12-30,24.72,24.72,24.72,24.72
2004-12-31,24.56,24.56,24.56,24.56
2005-01-03,24.33,24.33,24.33,24.33
2005-01-04,24.2,24.2,24.2,24.2
2005-01-05,24.19,24.19,24.19,24.19
2005-01-06,24.19,24.19,24.19,24.19
2005-01-07,24.07,24.07,24.07,24.07
2005-01-10,24.3,24.3,24.3,24.3
2005-01-11,24.41,24.41,24.41,24.41
2005-01-12,24.78,24.78,24.78,24.78
2005-01-13,25.04,25.04,25.04,25.04
2005-01-14,25.13,25.13,25.13,25.13
2005-01-18,25.64,25.64,25.64,25.64
2005-01-19,25.29,25.29,25.29,25.29
2005-01-20,25.22,25.22,25.22,25.22
2005-01-21,25.01,25.01,25.01,25.01
2005-01-24,25.04,25.04,25.04,25.04
2005-01-25,25.07,25.07,25.07,25.07
2005-01-26,25.22,25.22,25.22,25.22
2005-01-27,26.15,26.15,26.15,26.15
2005-01-28,26.31,26.31,26.31,26.31
2005-01-31,26.8,26.8,26.8,26.8
2005-02-01,27.24,27.24,27.24,27.24
2005-02-02,27.99,27.99,27.99,27.99
2005-02-03,28.46,28.46,28.46,28.46
2005-02-04,28.61,28.61,28.61,28.61
2005-02-07,28.7,28.7,28.7,28.7
2005-02-08,29.53,29.53,29.53,29.53
2005-02-09,29.19,29.19,29.19,29.19
2005-02-10,29.12,29.12,29.12,29.12
2005-02-11,30.24,30.24,30.24,30.24
2005-02-14,30.21,30.21,30.21,30.21
2005-02-15,30.32,30.32,30.32,30.32
2005-02-16,30.54,30.54,30.54,30.54
2005-02-17,30.15,30.15,30.15,30.15
2005-02-18,29.99,29.99,29.99,29.99
2005-02-22,29.68,29.68,29.68,29.68
2005-02-23,29.83,29.83,29.83,29.83
2005-02-24,29.91,29.91,29.91,29.91
2005-02-25,30.28,30.28,30.28,30.28
2005-02-28,30.01,30.01,30.01,30.01
2005-03-01,30.05,30.05,30.05,30.05
2005-03-02,29.72,29.72,29.72,29.72
2005-03-03,29.42,29.42,29.42,29.42
2005-03-04,29.8,29.8,29.8,29.8
